"Date","West Bengal"
"01-01-2019","108.2"
"02-01-2019","110.2"
"03-01-2019","106.8"
"04-01-2019","107"
"05-01-2019","106.4"
"06-01-2019","109.3"
"07-01-2019","102.9"
"08-01-2019","131.7"
"09-01-2019","140.1"
"10-01-2019","149.8"
"11-01-2019","154.7"
"12-01-2019","155.3"
"13-01-2019","143.9"
"14-01-2019","143.4"
"15-01-2019","152.9"
"16-01-2019","167.7"
"17-01-2019","175.9"
"18-01-2019","180.6"
"19-01-2019","178.9"
"20-01-2019","178.9"
"21-01-2019","173"
"22-01-2019","183.4"
"23-01-2019","175.5"
"24-01-2019","161.2"
"25-01-2019","169.5"
"26-01-2019","135.6"
"27-01-2019","103.6"
"28-01-2019","131.5"
"29-01-2019","125.7"
"30-01-2019","126.1"
"31-01-2019","128"
"01-02-2019","127.6"
"02-02-2019","131.6"
"03-02-2019","136.8"
"04-02-2019","138.9"
"05-02-2019","115.4"
"06-02-2019","115.1"
"07-02-2019","117.4"
"08-02-2019","123.7"
"09-02-2019","124.9"
"10-02-2019","123.3"
"11-02-2019","116.8"
"12-02-2019","124.4"
"13-02-2019","125.4"
"14-02-2019","126.8"
"15-02-2019","128.6"
"16-02-2019","132.4"
"17-02-2019","127.1"
"18-02-2019","119.8"
"19-02-2019","185.5"
"20-02-2019","186.1"
"21-02-2019","198.1"
"22-02-2019","189"
"23-02-2019","175.9"
"24-02-2019","176"
"25-02-2019","153.4"
"26-02-2019","113.9"
"27-02-2019","119.5"
"28-02-2019","114.1"
"01-03-2019","120.5"
"02-03-2019","118.9"
"03-03-2019","119.8"
"04-03-2019","111.4"
"05-03-2019","163.7"
"06-03-2019","167.1"
"07-03-2019","170.3"
"08-03-2019","173.5"
"09-03-2019","178.5"
"10-03-2019","177.2"
"11-03-2019","165.2"
"12-03-2019","98.4"
"13-03-2019","97.7"
"14-03-2019","91.6"
"15-03-2019","97.1"
"16-03-2019","106.8"
"17-03-2019","101.9"
"18-03-2019","95.6"
"19-03-2019","107.5"
"20-03-2019","110.8"
"21-03-2019","113.4"
"22-03-2019","113"
"23-03-2019","114.1"
"24-03-2019","115.6"
"25-03-2019","102.1"
"26-03-2019","152.1"
"27-03-2019","145.2"
"28-03-2019","145.8"
"29-03-2019","160.1"
"30-03-2019","172.7"
"31-03-2019","164.2"
"01-04-2019","158.4"
"02-04-2019","111.8"
"03-04-2019","112.5"
